iter	Passed	Remaining
631	879	511
632	881	511
633	882	509
634	884	508
635	886	507
636	890	507
637	895	508
638	896	506
639	897	505
640	904	506
641	905	505
642	907	503
643	908	502
644	909	500
645	911	499
646	912	498
647	914	496
648	915	495
649	916	493
650	918	492
651	919	490
652	921	489
653	922	488
654	924	486
655	925	485
656	926	483
657	928	482
658	929	481
659	930	479
660	933	478
661	934	477
662	935	475
663	937	474
664	938	472
665	939	471
666	941	469
667	942	468
668	943	467
669	945	465
670	946	464
671	947	462
672	949	461
673	950	459
674	951	458
675	953	456
676	954	455
677	956	454
678	957	452
679	958	451
680	960	449
681	961	448
682	962	446
683	964	445
684	965	444
685	966	442
686	968	441
687	969	439
688	970	438
689	978	439
690	979	437
691	980	436
692	981	434
693	982	433
694	984	431
695	985	430
696	986	428
697	987	427
698	988	425
699	990	424
700	1003	428
701	1005	426
702	1006	425
703	1008	423
704	1009	422
705	1010	420
706	1011	419
707	1012	417
708	1014	416
709	1015	414
710	1016	413
711	1017	411
712	1018	410
713	1020	408
714	1021	407
715	1023	405
716	1024	404
717	1025	402
718	1027	401
719	1028	400
720	1029	398
721	1031	397
722	1032	395
723	1033	394
724	1035	392
725	1036	391
726	1038	389
727	1039	388
728	1040	386
729	1042	385
730	1043	384
731	1044	382
732	1045	380
733	1046	379
734	1048	377
735	1049	376
736	1050	374
737	1052	373
738	1053	372
739	1054	370
740	1055	369
741	1057	367
742	1058	366
743	1060	364
744	1063	363
745	1065	362
746	1066	361
747	1068	359
748	1069	358
749	1070	356
750	1072	355
751	1073	354
752	1075	352
753	1076	351
754	1078	349
755	1079	348
756	1081	347
757	1082	345
758	1083	344
759	1085	342
760	1086	341
761	1088	339
762	1089	338
763	1091	337
764	1092	335
765	1094	334
766	1095	332
767	1096	331
768	1098	329
769	1099	328
770	1101	327
771	1102	325
772	1103	324
773	1105	322
774	1106	321
775	1108	319
776	1109	318
777	1110	316
778	1112	315
779	1113	314
780	1115	312
781	1116	311
782	1117	309
783	1119	308
784	1120	306
785	1122	305
786	1124	304
787	1125	302
788	1127	301
789	1128	300
790	1130	298
791	1131	297
792	1133	295
793	1135	294
794	1136	293
795	1137	291
796	1139	290
797	1140	288
798	1142	287
799	1143	285
800	1144	284
801	1146	282
802	1147	281
803	1149	280
804	1150	278
805	1151	277
806	1153	275
807	1154	274
808	1155	272
809	1157	271
810	1158	270
811	1159	268
812	1161	267
813	1162	265
814	1164	264
815	1165	262
816	1166	261
817	1168	259
818	1169	258
819	1171	257
820	1172	255
821	1173	254
822	1175	252
823	1176	251
824	1177	249
825	1179	248
826	1180	246
827	1181	245
828	1183	244
829	1184	242
830	1185	241
831	1187	239
832	1188	238
833	1190	236
834	1191	235
835	1192	234
836	1194	232
837	1195	231
838	1196	229
839	1198	228
840	1199	226
841	1201	225
842	1202	223
843	1203	222
844	1205	221
845	1206	219
846	1207	218
847	1209	216
848	1210	215
849	1212	213
850	1213	212
851	1214	211
852	1216	209
853	1217	208
854	1219	206
855	1220	205
856	1221	203
857	1223	202
858	1224	200
859	1225	199
860	1227	198
861	1228	196
862	1229	195
863	1231	193
864	1232	192
865	1233	190
866	1235	189
867	1236	188
868	1238	186
869	1239	185
870	1240	183
871	1242	182
872	1243	180
873	1244	179
874	1246	178
875	1247	176
876	1249	175
877	1250	173
878	1251	172
879	1253	170
880	1254	169
881	1255	168
882	1257	166
883	1258	165
884	1259	163
885	1261	162
886	1262	160
887	1264	159
888	1265	158
889	1266	156
890	1268	155
891	1269	153
892	1271	152
893	1272	150
894	1273	149
895	1275	148
896	1276	146
897	1277	145
898	1279	143
899	1280	142
900	1282	140
901	1283	139
902	1284	138
903	1286	136
904	1287	135
905	1288	133
906	1290	132
907	1291	130
908	1293	129
909	1295	128
910	1296	126
911	1297	125
912	1299	123
913	1300	122
914	1301	120
915	1303	119
916	1304	118
917	1306	116
918	1307	115
919	1308	113
920	1310	112
921	1311	110
922	1312	109
923	1314	108
924	1315	106
925	1317	105
926	1318	103
927	1319	102
928	1321	100
929	1322	99
930	1323	98
931	1324	96
932	1326	95
933	1327	93
934	1328	92
935	1330	90
936	1331	89
937	1332	88
938	1334	86
939	1335	85
940	1336	83
941	1337	82
942	1339	80
943	1340	79
944	1341	78
945	1343	76
946	1344	75
947	1346	73
948	1347	72
949	1348	70
950	1350	69
951	1351	68
952	1352	66
953	1355	65
954	1356	63
955	1357	62
956	1359	61
957	1360	59
958	1362	58
959	1363	56
960	1365	55
961	1366	53
962	1367	52
963	1368	51
964	1370	49
965	1372	48
966	1373	46
967	1374	45
968	1376	44
969	1377	42
970	1378	41
971	1380	39
972	1381	38
973	1382	36
974	1384	35
975	1385	34
976	1387	32
977	1388	31
978	1389	29
979	1391	28
980	1392	26
981	1393	25
982	1395	24
983	1396	22
984	1397	21
985	1399	19
986	1400	18
987	1401	17
988	1403	15
989	1407	14
990	1408	12
991	1409	11
992	1411	9
993	1412	8
994	1414	7
995	1415	5
996	1416	4
997	1418	2
998	1419	1
999	1420	0
